ipa,x_utm30,y_utm30,nombre_punto,municipio,provincia,masa_agua,red,lon_x,lat_x,lat_y,lon_y,soil_cec_0_5cm,soil_cec_15_30cm,soil_cec_5_15cm,soil_clay_0_5cm,soil_clay_15_30cm,soil_clay_5_15cm,soil_phh2o_0_5cm,soil_phh2o_15_30cm,soil_phh2o_5_15cm,soil_sand_0_5cm,soil_sand_15_30cm,soil_sand_5_15cm,soil_silt_0_5cm,soil_silt_15_30cm,soil_silt_5_15cm,soil_soc_0_5cm,soil_soc_15_30cm,soil_soc_5_15cm,soil_wv0033_0_5cm,soil_wv0033_15_30cm,soil_wv0033_5_15cm,soil_wv1500_0_5cm,soil_wv1500_15_30cm,soil_wv1500_5_15cm,clc2012_codigo,clc2012_nombre,clc2012_agricola,clc2018_codigo,clc2018_nombre,clc2018_agricola,cambio_clc_2012_2018,sigpac_uso,sigpac_uso_nombre,sigpac_superficie_m2,sigpac_pendiente_pct,sigpac_coef_regadio,sigpac_es_agricola,dist_sigpac_m,zona_vulnerable_nitratos,altitud_dem_m,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_media_periodo,ndvi_min_periodo,ndvi_max_periodo,ndvi_cambio_periodo
211020172,497981,4705042,MANANTIAL DEL CAÑO,HERRAMÉLLURI,Rioja (La),ALUVIAL DEL TIRÓN,RNIT,-3.0245712815334773,42.49773617229687,42.49773617229687,-3.0245712815334773,19.1,15.8,17.5,23.200000000000003,24.900000000000002,25.1,7.7,7.9,7.9,21.700000000000003,21.3,22.0,49.2,47.5,48.400000000000006,27.6,12.100000000000001,12.700000000000001,0.34700000000000003,0.337,0.34,0.18,0.185,0.183,211,Tierras labor secano,True,211,Tierras labor secano,True,False,MT,Monte bajo / Matorral,1005.2488693393032,2.29,0.0,False,0.0,True,575.1920166015625,0.42327496397161724,0.4337286410037697,0.621130108833313,0.5905807018280029,0.5784793496131897,0.5707837343215942,0.6493117809295654,0.6585572361946106,0.674222469329834,0.5859802961349487,0.6375018358230591,0.583959192543955,0.42327496397161724,0.674222469329834,0.21422687185144185
220950053,513179,4709814,MANANTIAL DE OLLONGUI,RODEZNO,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.839501585761097,42.54060232582512,42.54060232582512,-2.839501585761097,22.0,15.700000000000001,16.8,21.3,27.0,23.3,7.7,7.800000000000001,7.800000000000001,21.700000000000003,19.8,21.200000000000003,53.7,48.300000000000004,52.2,28.5,11.4,11.4,0.34900000000000003,0.33,0.342,0.171,0.182,0.183,211,Tierras labor secano,True,211,Tierras labor secano,True,False,MT,Monte bajo / Matorral,354.8166786670934,1.19,0.0,False,0.0,True,501.4400329589844,0.5975763506012082,0.5566633512684394,0.7340297102928162,0.7895739078521729,0.774545431137085,0.7724764943122864,0.7586206793785095,0.7377396821975708,0.7450381517410278,0.7720738649368286,0.705908477306366,0.72220419100221,0.5566633512684394,0.7895739078521729,0.1083321267051578
210980206,510029,4712494,FUENTE DEL ESTRECHO,HARO,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.877816206923574,42.564785112890746,42.564785112890746,-2.877816206923574,20.1,16.3,18.5,20.0,28.900000000000002,23.5,7.7,7.800000000000001,7.800000000000001,26.5,22.200000000000003,24.8,45.300000000000004,38.0,43.1,28.200000000000003,12.0,12.3,0.34500000000000003,0.33,0.34,0.167,0.187,0.179,211,Tierras labor secano,True,211,Tierras labor secano,True,False,TH,Huerta,73436.88493033344,0.39,100.0,True,0.0,True,481.4560241699219,0.5851827465182041,0.5856147565312653,0.5743879675865173,0.7480264902114868,0.7371034026145935,0.7657662034034729,0.7293891906738281,0.7071719765663147,0.6951951384544373,0.6893039345741272,0.7065324783325195,0.6839703895878878,0.5743879675865173,0.7657662034034729,0.12134973181431541
210980114,509312,4713861,MALZAPATO,HARO,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.886529122493577,42.57710495472772,42.57710495472772,-2.886529122493577,22.0,19.1,21.0,18.900000000000002,27.400000000000002,22.3,7.6000000000000005,7.6000000000000005,7.7,31.400000000000002,25.8,29.3,38.6,36.2,38.0,27.6,13.0,12.700000000000001,0.356,0.337,0.34800000000000003,0.161,0.169,0.167,211,Tierras labor secano,True,211,Tierras labor secano,True,False,TA,Tierra arable,8850.174446481493,0.18,0.0,True,0.0,True,463.6600341796875,0.46105272080013565,0.8762579792391376,0.2205173224210739,0.29013609886169434,0.21803581714630127,0.22092722356319427,0.20597277581691742,0.1729559749364853,0.24483776092529297,0.20120637118816376,0.21251334249973297,0.3022193988543754,0.1729559749364853,0.8762579792391376,-0.24853937830040268
210980017,510361,4707537,FUENTE DE LA ROSA,ZARRATÓN,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.8738613390006438,42.520139022965864,42.520139022965864,-2.8738613390006438,19.3,16.0,16.8,20.5,23.8,21.700000000000003,7.800000000000001,7.9,7.9,22.3,20.0,22.400000000000002,54.0,50.5,52.6,24.1,11.0,11.4,0.338,0.324,0.332,0.178,0.187,0.187,211,Tierras labor secano,True,211,Tierras labor secano,True,False,MT,Monte bajo / Matorral,1133.3378436182925,1.3,0.0,False,0.0,True,535.1876831054688,0.507898954437915,0.5525688685539987,0.5559792518615723,0.6837455630302429,0.570530891418457,0.5415583848953247,0.33601608872413635,0.2895805537700653,0.5944510698318481,0.6737828254699707,0.5624954104423523,0.5335098056759894,0.2895805537700653,0.6837455630302429,0.0545964560044373
210980214,507946,4710298,EL NAVAL (CAMINO PERPENDICULAR A CRA CASALARREINA-OLLAURI -N-232,CASALARREINA,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.903224018219865,42.54503266880595,42.54503266880595,-2.903224018219865,20.0,16.6,18.6,21.200000000000003,24.400000000000002,22.5,7.6000000000000005,7.800000000000001,7.800000000000001,22.900000000000002,20.3,22.200000000000003,50.7,47.2,50.5,32.0,12.9,13.0,0.34900000000000003,0.323,0.333,0.193,0.193,0.193,211,Tierras labor secano,True,211,Tierras labor secano,True,False,TA,Tierra arable,8323.814070250124,0.14,100.0,True,0.0,True,506.27203369140625,0.3100668635861041,0.22724325839743476,0.22184589505195618,0.24038062989711761,0.3507588505744934,0.19391819834709167,0.21337954699993134,0.14240793883800507,0.2686789631843567,0.1860719472169876,0.24100157618522644,0.23597760620715497,0.14240793883800507,0.3507588505744934,-0.06906528740087764
211040003,509763,4704680,FUENTE DE CIDAMÓN,CIDAMÓN,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.8811903310232894,42.494417094545355,42.494417094545355,-2.8811903310232894,20.200000000000003,15.100000000000001,16.2,22.5,27.5,23.5,7.4,7.7,7.7,24.6,23.0,24.700000000000003,48.1,42.900000000000006,47.2,28.200000000000003,10.4,12.100000000000001,0.34800000000000003,0.336,0.34,0.162,0.164,0.164,211,Tierras labor secano,True,211,Tierras labor secano,True,False,PR,Pasto arbustivo,5318.851242021235,1.13,0.0,True,0.0,True,581.7440185546875,0.6663210355554069,0.7015969138578676,0.6605861783027649,0.6420838832855225,0.6399673819541931,0.610368549823761,0.6280471086502075,0.576757550239563,0.714102566242218,0.6117045879364014,0.5490398406982422,0.636415963322377,0.5490398406982422,0.714102566242218,-0.1172811948571647
211040524,511803,4705137,POZO SOMBRÍO,CIDAMÓN,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.856355443600365,42.498504347630195,42.498504347630195,-2.856355443600365,20.200000000000003,14.8,16.5,25.6,26.700000000000003,26.3,7.800000000000001,7.800000000000001,7.800000000000001,21.200000000000003,18.6,21.6,49.300000000000004,47.0,48.5,23.6,10.4,12.100000000000001,0.333,0.312,0.322,0.187,0.187,0.187,211,Tierras labor secano,True,211,Tierras labor secano,True,False,TA,Tierra arable,7676.934046513939,0.34,100.0,True,0.0,True,575.556884765625,0.30117997479665476,0.26193582526663445,0.3212180733680725,0.4714355766773224,0.35308030247688293,0.7358331680297852,0.3620682954788208,0.15209828317165375,0.3670322000980377,0.2630070149898529,0.1980617791414261,0.3442682266813767,0.15209828317165375,0.7358331680297852,-0.10311819565522867
210980012,506025,4707245,MANANTIAL PISCIFACTORIA,CASTAÑARES DE RIOJA,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.926652431349929,42.51755526112446,42.51755526112446,-2.926652431349929,20.8,15.9,16.5,18.900000000000002,23.0,21.400000000000002,7.1000000000000005,7.5,7.4,22.700000000000003,20.900000000000002,22.3,54.7,50.0,52.6,38.0,10.5,13.4,0.343,0.333,0.339,0.157,0.162,0.161,211,Tierras labor secano,True,211,Tierras labor secano,True,False,AG,Agua,3335.7290088981067,0.5,,False,0.0,False,530.6890258789062,0.711187539434128,0.7550503396012143,0.650301456451416,0.7029703259468079,0.6475771069526672,0.636570394039154,0.6002181768417358,0.6208142638206482,0.732672929763794,0.7874494194984436,0.7645792961120605,0.691762840769279,0.6002181768417358,0.7874494194984436,0.0533917566779325
210980020,506831,4710473,FUENTE DEL POBE,CASALARREINA,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.9168017266580355,42.54661934709923,42.54661934709923,-2.9168017266580355,20.900000000000002,16.8,17.2,22.700000000000003,30.5,26.8,7.4,7.6000000000000005,7.6000000000000005,25.900000000000002,21.400000000000002,24.400000000000002,43.400000000000006,40.2,42.2,28.8,11.200000000000001,12.3,0.34600000000000003,0.324,0.333,0.182,0.187,0.187,112,Tejido urbano discontinuo,False,112,Tejido urbano discontinuo,False,False,FO,Forestal,72267.21588526189,0.43,0.0,False,0.0,True,497.0989990234375,0.4859958721340321,0.5476638414243875,0.8068019151687622,0.7758015990257263,0.7786906361579895,0.7656192183494568,0.811215877532959,0.8485109806060791,0.8075318336486816,0.7718386650085449,0.7839561104774475,0.7439660499576424,0.4859958721340321,0.8485109806060791,0.2979602383434154
211030763,504382,4701022,"Talleres Janda, S.L. POZO 2",BAÑARES,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.946701691271199,42.46152264878249,42.46152264878249,-2.946701691271199,19.400000000000002,15.4,16.2,23.8,26.5,23.8,7.9,7.9,8.0,22.1,20.400000000000002,22.400000000000002,48.6,47.0,48.7,26.6,11.200000000000001,12.700000000000001,0.34,0.332,0.334,0.176,0.187,0.187,211,Tierras labor secano,True,211,Tierras labor secano,True,False,IM,Improductivo,23986.31923743587,0.2,,False,0.0,False,610.9520263671875,0.31831459996718237,0.22606599996204724,0.26923078298568726,0.3066257834434509,0.29419612884521484,0.2931034564971924,0.322053462266922,0.2845921516418457,0.2765321433544159,0.2837958037853241,0.3167553246021271,0.29011505794103726,0.22606599996204724,0.322053462266922,-0.0015592753650552904
211040587,507436,4700831,CAMINO DE BAÑARES,BAÑARES,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.909558370814552,42.45977922466297,42.45977922466297,-2.909558370814552,18.400000000000002,15.200000000000001,16.400000000000002,31.0,31.700000000000003,31.3,8.0,8.1,8.200000000000001,23.6,23.1,23.6,44.7,44.0,44.0,23.200000000000003,10.8,13.5,0.355,0.34,0.343,0.188,0.188,0.188,211,Tierras labor secano,True,211,Tierras labor secano,True,False,CA,Viales,7366.778210459292,0.24,,False,0.0,True,607.009033203125,0.23193359095463015,0.239820323477533,0.3022332489490509,0.2906944751739502,0.27630946040153503,0.2771338224411011,0.3356727659702301,0.22990202903747559,0.22017696499824524,0.24100491404533386,0.21786344051361084,0.26024954872388145,0.21786344051361084,0.3356727659702301,-0.014070150441019308
210960027,496442,4705822,LA FUENTITA,LEIVA,Rioja (La),ALUVIAL DEL TIRÓN,RNIT,-3.043305794074483,42.50475520912932,42.50475520912932,-3.043305794074483,19.1,15.5,17.6,22.0,25.200000000000003,23.400000000000002,7.800000000000001,7.9,8.0,21.700000000000003,21.3,21.700000000000003,49.7,48.0,49.5,25.6,12.0,12.3,0.34400000000000003,0.332,0.34,0.178,0.189,0.188,112,Tejido urbano discontinuo,False,112,Tejido urbano discontinuo,False,False,ZU,Zona urbana,199469.73133932488,0.49,,False,0.0,True,580.7160034179688,0.32083361108249453,0.33480681626455194,0.5957130193710327,0.643552303314209,0.6255315542221069,0.6176461577415466,0.5735172629356384,0.4823334813117981,0.5159026980400085,0.6231883764266968,0.5996360182762146,0.5393328453623908,0.32083361108249453,0.643552303314209,0.27880240719372007
211020002,492766,4704119,MANANTIAL TORMANTOS,TORMANTOS,Rioja (La),ALUVIAL DEL TIRÓN,RNIT,-3.088026260368538,42.489392566396134,42.489392566396134,-3.088026260368538,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,Tierras labor secano,True,211,Tierras labor secano,True,False,CA,Viales,208.23028112285357,2.69,,False,0.0,True,616.5142211914062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221060002,522216,4695059,CARRETERA NÁJERA-TRICIO,NÁJERA,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7300185754844732,42.40751445876387,42.40751445876387,-2.7300185754844732,23.5,17.400000000000002,20.3,20.900000000000002,27.8,24.0,7.800000000000001,7.9,7.9,23.400000000000002,21.900000000000002,22.900000000000002,41.300000000000004,38.900000000000006,39.7,16.8,10.3,10.200000000000001,0.34600000000000003,0.329,0.339,0.161,0.162,0.161,212,Terrenos regados,True,212,Terrenos regados,True,False,TA,Tierra arable,1405.8035614098,3.79,0.0,True,0.0,False,507.4730224609375,0.4846426847433539,0.5812821293327486,0.42738619446754456,0.4171184301376343,0.4258039593696594,0.44238409399986267,0.4498903155326843,0.4543495774269104,0.460014671087265,0.44269469380378723,0.4949755370616913,0.46186748063301286,0.4171184301376343,0.5812821293327486,0.01033285231833736
221060091,524197,4694062,MANANTIAL DE RIVAS CAIDAS,TRICIO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7059865620736723,42.39847633992225,42.39847633992225,-2.7059865620736723,21.0,15.700000000000001,17.5,25.0,29.1,28.1,7.800000000000001,8.0,8.0,21.400000000000002,20.400000000000002,21.3,46.5,41.900000000000006,43.400000000000006,23.6,12.200000000000001,11.4,0.353,0.326,0.342,0.181,0.187,0.187,212,Terrenos regados,True,212,Terrenos regados,True,False,FO,Forestal,8557.011664482998,1.25,0.0,False,0.0,False,560.1270141601562,0.6071254682001594,0.5590994850023452,0.7761620283126831,0.8150684833526611,0.6889304518699646,0.7965734601020813,0.7999378442764282,0.7960264682769775,0.8274208903312683,0.604938268661499,0.7900139093399048,0.7328451597932703,0.5590994850023452,0.8274208903312683,0.18288844113974534
221120045,519982,4686733,BAJADA AL RÍO DESDE EL CASCO URBANO,BAÑOS DE RÍO TOBÍA,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.75745581408348,42.33259119313079,42.33259119313079,-2.75745581408348,21.5,15.0,16.5,22.1,27.0,22.1,7.800000000000001,7.9,8.0,23.8,21.900000000000002,23.900000000000002,48.400000000000006,44.900000000000006,47.7,22.400000000000002,12.0,11.600000000000001,0.35000000000000003,0.331,0.335,0.155,0.156,0.158,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,MT,Monte bajo / Matorral,632.066906270657,4.91,0.0,False,0.0,False,557.7040405273438,0.6113015192492243,0.6489201491316633,0.8374188542366028,0.7864193916320801,0.7828876972198486,0.8028614521026611,0.8717151880264282,0.8779833316802979,0.8812310695648193,0.8775187730789185,0.8863579630851746,0.805874126273429,0.6113015192492243,0.8863579630851746,0.2750564438359503
221020087,520122,4703452,FUENTE POZUELOS,SAN ASENSIO,Rioja (La),SIN DEFINIR MASA,RNIT,-2.7551716733643294,42.483157945003434,42.483157945003434,-2.7551716733643294,19.900000000000002,15.600000000000001,18.2,23.6,27.900000000000002,24.6,7.800000000000001,8.1,8.1,24.1,20.8,24.0,43.6,35.6,43.6,21.6,11.4,10.200000000000001,0.335,0.323,0.325,0.162,0.163,0.162,221,Vinedos,True,221,Vinedos,True,False,VI,Vinedo,1184.6965047531785,0.91,0.0,True,0.0,False,570.6119995117188,0.17749926864264728,0.2159560107987931,0.17484275996685028,0.3104006350040436,0.28663575649261475,0.3929121792316437,0.33198216557502747,0.3669627010822296,0.36253422498703003,0.357774943113327,0.37454357743263245,0.3047312929388035,0.17484275996685028,0.3929121792316437,0.19704430878998516
221020024,524272,4703698,FUENTEFRÍA,CENICERO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7046679845496135,42.485254386674384,42.485254386674384,-2.7046679845496135,21.5,15.8,17.3,25.200000000000003,25.8,25.200000000000003,7.0,7.2,7.2,26.400000000000002,25.5,27.8,39.6,39.900000000000006,40.1,28.5,12.200000000000001,12.4,0.34900000000000003,0.338,0.343,0.154,0.154,0.154,311,Bosque frondosas,False,311,Bosque frondosas,False,False,FO,Forestal,1369.96407057589,1.21,0.0,False,0.0,True,443.676025390625,0.7898528339468158,0.8439650331005608,0.8831037878990173,0.8517690896987915,0.8807500600814819,0.8708665370941162,0.8787878751754761,0.8743496537208557,0.8944306373596191,0.8944206237792969,0.552666962146759,0.8377239176366174,0.552666962146759,0.8944306373596191,-0.2371858718000568
221030031,527852,4703429,FUENTE CARRETERA NAJERA-CENICERO,CENICERO,Rioja (La),SIN DEFINIR MASA,RNIT,-2.6611217399980944,42.48271132080834,42.48271132080834,-2.6611217399980944,20.200000000000003,15.8,17.8,26.400000000000002,28.6,27.0,8.0,8.1,8.200000000000001,21.0,19.900000000000002,21.1,46.6,42.7,45.5,21.200000000000003,9.9,10.0,0.361,0.35000000000000003,0.35100000000000003,0.17500000000000002,0.189,0.189,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,2207.1217785626523,1.71,0.0,False,0.0,False,479.4120178222656,0.45311381195461886,0.4907997276250028,0.6370799541473389,0.5017421841621399,0.5447238087654114,0.5700147151947021,0.6558076739311218,0.602840781211853,0.7209792137145996,0.6953426599502563,0.7554477453231812,0.6025356614527478,0.45311381195461886,0.7554477453231812,0.3023339333685623
221040043,536856,4697980,BODEGAS CORRAL,NAVARRETE,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.551921968548726,42.43326316274595,42.43326316274595,-2.551921968548726,22.0,16.6,19.1,24.700000000000003,25.700000000000003,23.8,7.7,8.0,8.0,24.0,22.8,24.5,49.0,47.0,49.0,19.0,10.9,11.0,0.34900000000000003,0.33,0.339,0.162,0.167,0.167,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,ZU,Zona urbana,24398.31889342541,0.23,,False,0.0,True,472.3800354003906,0.19048438608236629,0.1884926782611039,0.1822819858789444,0.14844444394111633,0.17308981716632843,0.1626155525445938,0.16780008375644684,0.17439652979373932,0.15665894746780396,0.17707794904708862,0.1633603572845459,0.17133661192946162,0.14844444394111633,0.19048438608236629,-0.027124028797820388
221080061,538113,4695352,FUENTE NAVARRETE. FUENTE DEL PRADO,NAVARRETE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.5368146601699086,42.40953540715909,42.40953540715909,-2.5368146601699086,20.5,15.200000000000001,17.2,21.0,23.5,21.0,7.9,8.0,8.0,26.900000000000002,24.400000000000002,27.0,47.0,45.6,47.5,19.900000000000002,10.600000000000001,10.3,0.35000000000000003,0.338,0.34400000000000003,0.154,0.154,0.154,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,1590.4405489337184,0.61,0.0,False,0.0,False,498.3445739746094,0.3378003461616779,0.2837374183818068,0.33162763714790344,0.44337138533592224,0.4181061387062073,0.4678284525871277,0.46600985527038574,0.39065420627593994,0.5415282249450684,0.565947413444519,0.509950578212738,0.4324146960426633,0.2837374183818068,0.565947413444519,0.17215023205106011
231050145,545213,4694131,Mogrones (PO: 17; PA: 104 ),ALBERITE,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.4506282182385846,42.39815846024035,42.39815846024035,-2.4506282182385846,18.6,16.400000000000002,17.2,23.6,24.8,24.5,7.6000000000000005,7.7,7.7,25.6,25.200000000000003,26.700000000000003,47.900000000000006,45.0,47.0,29.900000000000002,12.4,12.9,0.339,0.318,0.329,0.159,0.158,0.157,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,TA,Tierra arable,758.2287939020938,0.26,100.0,True,0.0,False,453.52001953125,0.6470217892730613,0.6754712474372501,0.653718113899231,0.599884033203125,0.6984830498695374,0.7606683969497681,0.6664907932281494,0.6998201012611389,0.6908414363861084,0.754406213760376,0.7114267945289612,0.687111997254246,0.599884033203125,0.7606683969497681,0.06440500525589987
231060003,547152,4694126,FUENTE DE LA DEHESA (Po. 13; Pa. 202),ALBERITE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.427069447301891,42.39799811322175,42.39799811322175,-2.427069447301891,21.5,16.2,18.400000000000002,26.5,28.200000000000003,26.6,7.9,8.0,8.1,26.200000000000003,25.0,26.400000000000002,43.900000000000006,41.0,43.2,19.1,10.8,11.600000000000001,0.333,0.324,0.324,0.165,0.161,0.165,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,IM,Improductivo,96.66089739338861,0.81,,False,0.0,True,504.2480163574219,0.5849249006819486,0.4935835029648642,0.4379298985004425,0.4196261465549469,0.3908117413520813,0.4333969056606293,0.38569122552871704,0.339712917804718,0.3856619596481323,0.40311098098754883,0.3622947931289673,0.42152227025572697,0.339712917804718,0.5849249006819486,-0.2226301075529813
