idptoinven,toponimo,x,y,coordz,tipocaptac,profmax,municipio_,provincia_,dominio_de,masasubta_,masasubtb_,acuifero_g,conlitolog,conhidroqu,conexpedie,conensayos,conpiezome,url,enredrbas,enredrnit,enredr500,enredrpiez,datos,id_punto,nombre_punto,municipio,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_wv0033_0-5cm,soil_wv0033_5-15cm,soil_wv0033_15-30cm,soil_wv1500_0-5cm,soil_wv1500_5-15cm,soil_wv1500_15-30cm,textura_usda,agua_disponible_cm3cm3,sigpac_uso,sigpac_pendiente_media,sigpac_altitud,sigpac_coef_regadio,sigpac_superficie_m2,dist_sigpac_m,zona_vulnerable,altitud_m
2411-8-0002,MANANTIAL FUENTE DEL CURA,592133,4675038,335.5710144,MANANTIAL,0,ALDEANUEVA DE EBRO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,SÃ­,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-8-0002_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241180002,2411-8-0002,MANANTIAL FUENTE DEL CURA,ALDEANUEVA DE EBRO,21.8,21.9,26.3,44.900000000000006,43.7,40.3,26.8,27.5,25.200000000000003,7.9,8.1,8.1,19.8,17.6,17.2,15.5,8.3,10.2,0.361,0.344,0.33,0.15,0.15,0.15,Franco arcillo limoso,0.211,MT,133.0,340.0,30.0,3835.1483760847273,0.0,True,340.98
2210-3-0031,FUENTE CARRETERA NÃJERA-CENICERO,527852,4703429,478.64599609,MANANTIAL,0,CENICERO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-3-0031_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221030031,2210-3-0031,FUENTE CARRETERA NÃJERA-CENICERO,CENICERO,26.4,27.0,28.6,46.6,45.5,42.7,21.0,21.1,19.9,8.0,8.200000000000001,8.1,20.200000000000003,17.8,15.8,21.200000000000003,10.0,9.9,0.361,0.351,0.35,0.175,0.189,0.189,Arcilla limosa,0.1859999999999999,MT,171.0,479.0,0.0,2207.1217785626523,0.0,False,479.41202
2310-5-0020,CELADAS,539993,4690809,612.184,MANANTIAL,0,ENTRENA,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-5-0020_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231050020,2310-5-0020,CELADAS,ENTRENA,24.4,24.200000000000003,24.4,44.900000000000006,45.3,45.3,27.1,27.8,27.5,8.0,8.1,8.0,19.4,16.400000000000002,14.8,20.8,11.4,12.4,0.355,0.333,0.327,0.162,0.167,0.162,Franco arcillo limoso,0.1929999999999999,MT,66.0,610.0,0.0,1471.528280230487,0.0,True,612.3078
2310-6-0003,FUENTE DE LA DEHESA (Po. 13; Pa. 202),547152,4694126,503.805,MANANTIAL,0,ALBERITE,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-6-0003_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231060003,2310-6-0003,FUENTE DE LA DEHESA (Po. 13; Pa. 202),ALBERITE,26.5,26.6,28.200000000000003,43.900000000000006,43.2,41.0,26.200000000000003,26.4,25.0,7.9,8.1,8.0,21.5,18.4,16.2,19.1,11.6,10.8,0.333,0.324,0.324,0.165,0.165,0.161,Arcilla limosa,0.168,IM,81.0,503.0,,96.66089739338861,0.0,True,504.24802
2210-2-0087,FUENTE POZUELOS,520122,4703452,574.462,MANANTIAL,0,SAN ASENSIO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-2-0087_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221020087,2210-2-0087,FUENTE POZUELOS,SAN ASENSIO,23.6,24.6,27.9,43.6,43.6,35.6,24.1,24.0,20.8,7.800000000000001,8.1,8.1,19.9,18.2,15.6,21.6,10.2,11.4,0.335,0.325,0.323,0.162,0.162,0.163,Franco arcillo limoso,0.173,VI,91.0,570.0,0.0,1184.6965047531785,0.0,False,570.612
2310-8-0029,LOS AGUAZALES,562879,4687823,580.775,POZO,10,GALILEA,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-8-0029_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231080029,2310-8-0029,LOS AGUAZALES,GALILEA,23.3,23.200000000000003,26.5,42.7,43.1,39.0,28.4,28.700000000000003,27.3,8.0,8.200000000000001,8.1,20.6,16.8,16.2,20.9,11.4,10.8,0.364,0.355,0.339,0.157,0.156,0.156,Franco arcillo limoso,0.207,FS,37.0,579.0,0.0,624.0147323554993,0.0,True,579.36804
2210-8-0061,FUENTE NAVARRETE. FUENTE DEL PRADO,538113,4695352,498.49700928,MANANTIAL,9999,NAVARRETE,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-8-0061_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221080061,2210-8-0061,FUENTE NAVARRETE. FUENTE DEL PRADO,NAVARRETE,21.0,21.0,23.5,47.0,47.5,45.6,26.9,27.0,24.4,7.9,8.0,8.0,20.5,17.2,15.2,19.9,10.3,10.6,0.35,0.344,0.338,0.154,0.154,0.154,Franco arcillo limoso,0.196,MT,61.0,498.0,0.0,1590.4405489337184,0.0,False,498.34457
2109-6-0027,LA FUENTITA,496442,4705822,579.53997803,MANANTIAL,0,LEIVA,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2109-6-0027_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=210960027,2109-6-0027,LA FUENTITA,LEIVA,22.0,23.4,25.200000000000003,49.7,49.5,48.0,21.700000000000003,21.700000000000003,21.3,7.800000000000001,8.0,7.9,19.1,17.6,15.5,25.6,12.3,12.0,0.344,0.34,0.332,0.178,0.188,0.189,Franco arcillo limoso,0.166,ZU,49.0,588.0,,199469.73133932488,0.0,True,580.716
2110-2-0172,MANANTIAL DEL CAÃO,498028,4705021,576.799,MANANTIAL,0,HERRAMELLURI,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-2-0172_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211020172,2110-2-0172,MANANTIAL DEL CAÃO,HERRAMELLURI,22.9,23.8,24.0,51.5,50.3,47.2,20.4,20.700000000000003,20.9,7.9,8.0,8.0,18.2,17.6,16.0,25.3,12.3,11.5,0.347,0.34,0.334,0.177,0.183,0.184,Franco arcillo limoso,0.17,CA,255.0,572.0,,1256.1805975685083,0.0,True,567.536
2110-2-0002,MANANTIAL TORMATOS,492766,4704119,617.72998047,MANANTIAL,9999,TORMANTOS,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",SÃ­,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-2-0002_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211020002,2110-2-0002,MANANTIAL TORMATOS,TORMANTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Franco,0.0,CA,269.0,619.0,,208.23028112285357,0.0,True,616.5142
2411-6-0069,"EL RASO, POZO CUEVA",580774,4674330,442.144,POZO,6.5,AUTOL,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,06702 | Cuaternario aluvial - Aluvial del Cidacos y terrazas,SÃ­,SÃ­,SÃ­,SÃ­,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-6-0069_ipa.pdf,No,SÃ­,SÃ­,No,http://www.datossubterraneas.chebro.es/?ipa=241160069,2411-6-0069,"EL RASO, POZO CUEVA",AUTOL,17.8,18.5,20.4,45.8,45.900000000000006,42.7,24.8,25.4,24.3,8.0,8.200000000000001,8.200000000000001,18.0,16.2,15.6,20.9,12.4,10.1,0.357,0.356,0.356,0.15,0.15,0.15,Franco arcillo limoso,0.207,MT,23.0,442.0,100.0,618.1587480881457,0.0,False,441.13202
2412-2-0031,Fuente del Prado,580469,4668555,727,MANANTIAL,0,AUTOL,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,06701 | Conglomerados oligocenos - Conglomerados y arenas (Conglomerados de Arnedo),No,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2412-2-0031_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241220031,2412-2-0031,Fuente del Prado,AUTOL,19.5,20.0,21.5,45.5,44.2,42.5,29.8,30.3,29.0,7.7,7.800000000000001,7.800000000000001,19.6,17.7,17.0,26.5,14.8,10.2,0.34,0.34,0.35,0.153,0.158,0.16,Franco arcillo limoso,0.187,MT,273.0,721.0,0.0,6995.398385493427,0.0,False,716.392
2411-6-0207,"MORCUERA (Pol. 11, Parc. 1767)",576845,4673064,577.25402832,POZO,70,ARNEDO,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,06701 | Conglomerados oligocenos - Conglomerados y arenas (Conglomerados de Arnedo),SÃ­,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-6-0207_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241160207,2411-6-0207,"MORCUERA (Pol. 11, Parc. 1767)",ARNEDO,14.4,14.1,15.7,26.6,26.6,26.0,49.0,50.2,45.8,8.0,8.200000000000001,8.200000000000001,21.6,21.200000000000003,20.5,19.3,6.5,10.9,0.323,0.315,0.319,0.117,0.101,0.12,Franco,0.206,FY,33.0,576.0,0.0,1972.0059979048656,0.0,False,577.06
2411-6-0181,JABALINA,578702,4670560,619.76397705,POZO,100,QUEL,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,06701 | Conglomerados oligocenos - Conglomerados y arenas (Conglomerados de Arnedo),SÃ­,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-6-0181_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241160181,2411-6-0181,JABALINA,QUEL,17.2,15.6,17.2,26.4,26.5,26.8,43.2,44.900000000000006,44.0,8.1,8.200000000000001,8.200000000000001,18.4,17.0,15.2,21.3,8.4,10.0,0.303,0.302,0.305,0.14,0.137,0.137,Franco,0.1629999999999999,VI,57.0,615.0,0.0,13822.394899085622,0.0,True,618.958
2411-6-0255,ONTAÃÃN,578552,4674726,499.0289917,POZO,12,QUEL,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,|  -,No,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-6-0255_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241160255,2411-6-0255,ONTAÃÃN,QUEL,17.6,16.2,20.0,38.0,38.0,35.6,33.2,34.4,33.4,7.9,8.1,8.0,18.8,17.0,16.3,19.0,11.6,10.0,0.354,0.334,0.328,0.148,0.143,0.143,Franco,0.206,MT,33.0,498.0,0.0,360.9098718296624,0.0,True,498.22803
2411-6-0146,COSCOJO-TABLAS (YASA HONDA),580514,4672705,482.33099365,POZO BALSA,2,AUTOL,LA RIOJA,Demanda - Cameros,067 | DETRITICO DE ARNEDO,|,|  -,No,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-6-0146_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241160146,2411-6-0146,COSCOJO-TABLAS (YASA HONDA),AUTOL,19.0,19.0,21.1,37.4,35.9,32.7,29.4,30.6,29.1,8.0,8.200000000000001,8.1,20.8,19.5,17.3,19.6,11.3,11.1,0.337,0.332,0.328,0.15,0.15,0.151,Franco arcillo limoso,0.187,AG,258.0,497.0,,96468.7927033703,0.0,False,481.58002
2511-6-0035,ITGA CADREITA FINCA EXPERIMENTAL. POZO 1,606297,4673672,267.95999146,POZO,9.8,ALFARO,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2511-6-0035_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=251160035,2511-6-0035,ITGA CADREITA FINCA EXPERIMENTAL. POZO 1,ALFARO,26.0,26.3,26.4,47.0,47.2,45.900000000000006,18.4,18.4,18.0,8.0,8.1,8.1,20.6,19.3,17.0,18.6,12.4,10.4,0.35,0.346,0.343,0.18,0.181,0.181,Arcilla limosa,0.17,TA,10.0,268.0,100.0,8744.733556695839,0.0,False,267.65237
2411-3-0002,ABAST. CALAHORRA-SOTO MANZANILLO-CASA DE LAS AGUAS NÂº 8,586041,4686559,294.77999878,POZO,9,CALAHORRA,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-3-0002_ipa.pdf,No,SÃ­,SÃ­,No,http://www.datossubterraneas.chebro.es/?ipa=241130002,2411-3-0002,ABAST. CALAHORRA-SOTO MANZANILLO-CASA DE LAS AGUAS NÂº 8,CALAHORRA,19.0,19.6,21.9,54.6,54.6,53.3,22.8,23.6,22.5,7.9,8.0,8.0,22.1,18.5,16.8,18.0,11.8,11.1,0.349,0.342,0.347,0.149,0.154,0.154,Franco limoso,0.2,ZU,14.0,295.0,,218.45667851150506,0.0,False,294.716
2511-6-0078,VIEJAMALA,602409,4673670,270.57400513,SONDEO,40.3,ALFARO,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2511-6-0078_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=251160078,2511-6-0078,VIEJAMALA,ALFARO,24.200000000000003,24.200000000000003,24.5,49.400000000000006,50.400000000000006,46.7,18.2,18.9,17.900000000000002,7.7,7.800000000000001,7.800000000000001,20.5,19.9,19.200000000000003,19.1,13.2,10.0,0.354,0.347,0.346,0.174,0.18,0.178,Franco arcillo limoso,0.1799999999999999,MT,68.0,271.0,100.0,789.0058222707919,0.0,True,269.86215
2511-6-0072,Jarra en finca del Camino de la Nava (PO: 2; PA: 9514),602964,4672988,269.55499268,POZO,7,ALFARO,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2511-6-0072_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=251160072,2511-6-0072,Jarra en finca del Camino de la Nava (PO: 2; PA: 9514),ALFARO,26.0,26.0,25.9,43.0,45.900000000000006,41.0,16.3,17.2,16.1,7.7,7.7,7.800000000000001,22.0,19.3,17.7,20.1,13.6,11.1,0.355,0.349,0.349,0.181,0.183,0.181,Arcilla limosa,0.174,ZU,9.0,270.0,,109.3911143556061,0.0,True,269.488
