idptoinven,toponimo,x,y,coordz,tipocaptac,profmax,municipio_,provincia_,dominio_de,masasubta_,masasubtb_,acuifero_g,conlitolog,conhidroqu,conexpedie,conensayos,conpiezome,url,enredrbas,enredrnit,enredr500,enredrpiez,datos,id_punto,nombre_punto,municipio,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_wv0033_0-5cm,soil_wv0033_5-15cm,soil_wv0033_15-30cm,soil_wv1500_0-5cm,soil_wv1500_5-15cm,soil_wv1500_15-30cm,textura_usda,agua_disponible_cm3cm3,sigpac_uso,sigpac_pendiente_media,sigpac_altitud,sigpac_coef_regadio,sigpac_superficie_m2,dist_sigpac_m,zona_vulnerable,altitud_m
2411-4-0065,"CASCAJO (Po:10, Pa:163)",588825,4683807,308.26098633,POZO,34,CALAHORRA,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,SÃ­,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-4-0065_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241140065,2411-4-0065,"CASCAJO (Po:10, Pa:163)",CALAHORRA,22.200000000000003,22.700000000000003,24.9,50.3,50.6,46.6,23.700000000000003,25.0,23.700000000000003,8.0,8.1,8.1,19.0,16.8,16.0,18.4,11.8,11.8,0.343,0.336,0.334,0.154,0.154,0.154,Franco arcillo limoso,0.189,TA,23.0,310.0,0.0,73639.72777125971,0.0,False,310.432
2410-6-0011,CANTARROYUELA DE PRADEJON (PO: 1 PA: 26),579079,4690031,324.38400269,POZO,33,PRADEJON,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2410-6-0011_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241060011,2410-6-0011,CANTARROYUELA DE PRADEJON (PO: 1 PA: 26),PRADEJON,20.6,21.0,21.5,55.7,55.5,53.900000000000006,21.200000000000003,21.1,20.9,7.9,8.0,8.0,21.9,19.200000000000003,17.0,21.0,12.4,12.0,0.347,0.338,0.335,0.154,0.154,0.154,Franco arcillo limoso,0.193,AG,311.0,322.0,,19759.635039953308,0.0,False,324.74002
2511-5-0038,CHAMPIÃONERA RINCÃN DE SOTO,595528,4675850,283.29000854,POZO,12,RINCON DE SOTO,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2511-5-0038_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=251150038,2511-5-0038,CHAMPIÃONERA RINCÃN DE SOTO,RINCON DE SOTO,25.0,24.3,22.9,51.0,52.8,51.0,19.3,20.5,19.5,8.0,8.1,8.0,20.700000000000003,19.1,17.400000000000002,15.5,11.8,9.0,0.348,0.34,0.34,0.159,0.157,0.159,Franco arcillo limoso,0.189,ZU,4.0,283.0,,732.0803737201605,0.0,False,285.78403
2410-7-0075,"RESA, (Po:32 Pa:146)",582773,4690189,301.242,POZO,37,CALAHORRA,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2410-7-0075_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241070075,2410-7-0075,"RESA, (Po:32 Pa:146)",CALAHORRA,21.700000000000003,21.0,24.6,50.5,50.900000000000006,49.3,22.4,22.8,22.0,7.7,7.7,7.7,22.200000000000003,19.3,17.3,38.5,14.6,12.2,0.348,0.334,0.327,0.15,0.152,0.154,Franco arcillo limoso,0.198,IM,18.0,301.0,,213.72540721271628,0.0,False,300.056
2512-2-0026,"TAMBARRÃA (POLÃGONO 30, PARCELA 184)",607687,4666914,313.41799927,POZO,7,ALFARO,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,04902 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2512-2-0026_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=251220026,2512-2-0026,"TAMBARRÃA (POLÃGONO 30, PARCELA 184)",ALFARO,26.8,25.9,24.8,37.7,39.1,34.9,27.1,27.9,27.1,7.9,8.200000000000001,8.200000000000001,20.8,17.400000000000002,18.3,16.3,9.5,10.1,0.352,0.348,0.343,0.157,0.157,0.158,Arcilla limosa,0.1949999999999999,VI,6.0,313.0,0.0,9129.930492968042,0.0,False,313.1546
2411-2-0074,PELOCAQUI,574731,4685464,418.359,POZO,8,VILLAR DE ARNEDO (EL),LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,|  -,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-2-0074_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241120074,2411-2-0074,PELOCAQUI,VILLAR DE ARNEDO (EL),24.200000000000003,23.5,25.700000000000003,39.2,39.2,38.5,31.1,31.3,27.700000000000003,7.800000000000001,8.1,8.1,19.3,18.8,18.4,19.1,9.9,11.4,0.337,0.325,0.324,0.14,0.14,0.142,Franco arcillo limoso,0.197,ZU,80.0,422.0,,305742.55133071623,0.0,True,417.38403
2411-7-0058,POZO DE LAS PISCINAS,582510,4674369,423.68399048,POZO,4.5,AUTOL,LA RIOJA,DepresiÃ³n del Ebro,049 | ALUVIAL DEL EBRO-ARAGÃN: LODOSA-TUDELA,|,|  -,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-7-0058_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241170058,2411-7-0058,POZO DE LAS PISCINAS,AUTOL,19.8,20.0,20.9,47.900000000000006,46.5,43.7,25.8,27.200000000000003,24.3,7.9,8.1,8.1,17.2,15.8,15.3,19.0,11.6,11.2,0.354,0.339,0.335,0.153,0.154,0.154,Franco arcillo limoso,0.2009999999999999,AG,59.0,407.0,,288276.30986614386,0.0,False,420.77502
2410-5-0067,PEÃASCASAS (Po:5),569734,4696089,323.4710083,POZO,0,ALCANADRE,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2410-5-0067_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241050067,2410-5-0067,PEÃASCASAS (Po:5),ALCANADRE,21.9,21.8,23.6,53.8,54.2,52.7,18.7,19.700000000000003,17.1,7.7,7.9,7.9,23.6,19.3,16.6,23.5,12.3,10.5,0.348,0.338,0.328,0.185,0.187,0.189,Franco arcillo limoso,0.163,VI,4.0,323.0,0.0,13271.773301470237,0.0,False,323.50403
2310-3-0088,JARRA EN EL CEMENTERIO,558884,4699753,342.42700195,POZO,0,AGONCILLO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-3-0088_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231030088,2310-3-0088,JARRA EN EL CEMENTERIO,AGONCILLO,23.9,23.0,23.200000000000003,51.2,51.8,52.2,18.1,18.9,16.1,7.800000000000001,8.0,8.0,20.8,17.0,16.6,16.3,12.4,9.8,0.341,0.332,0.328,0.185,0.185,0.185,Franco arcillo limoso,0.156,OV,21.0,342.0,100.0,109.81194101139556,0.0,False,343.28403
2310-2-0159,PASADA DEL ESPINAL,550879,4701051,366.45001221,SONDEO,8.2,LOGROÃO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-2-0159_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231020159,2310-2-0159,PASADA DEL ESPINAL,LOGROÃO,23.700000000000003,24.5,25.1,51.0,49.5,48.1,21.6,21.6,20.9,7.800000000000001,8.0,8.0,20.4,16.3,14.6,18.9,11.8,10.2,0.354,0.345,0.332,0.165,0.184,0.185,Franco arcillo limoso,0.1889999999999999,CA,56.0,366.0,,2020.6837001470403,0.0,True,365.34302
2310-3-0091,LA TEJERA,553380,4700080,359.3789978,SONDEO,9,LOGROÃO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-3-0091_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231030091,2310-3-0091,LA TEJERA,LOGROÃO,22.4,23.3,24.8,51.2,51.2,48.0,21.6,21.6,21.0,8.0,8.0,8.0,19.4,17.2,15.4,18.7,12.3,10.7,0.332,0.325,0.318,0.17,0.185,0.185,Franco arcillo limoso,0.162,CA,102.0,360.0,,12120.305583253885,0.0,False,356.86325
2310-3-0090,CAMINO DEL MOLINO,556798,4699105,364.36199951,SONDEO,9,AGONCILLO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-3-0090_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231030090,2310-3-0090,CAMINO DEL MOLINO,AGONCILLO,26.200000000000003,25.5,24.4,48.0,48.2,48.400000000000006,20.5,20.5,20.4,7.6,8.0,8.0,19.8,16.6,16.0,14.7,11.6,9.7,0.347,0.34,0.331,0.168,0.185,0.185,Arcilla limosa,0.179,AG,93.0,363.0,,186745.88876381752,0.0,False,364.33932
2310-3-0063,FUENTE DE MURILLO,556976,4696787,379.40499878,MANANTIAL,0,MURILLO DE RIO LEZA,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-3-0063_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231030063,2310-3-0063,FUENTE DE MURILLO,MURILLO DE RIO LEZA,26.1,26.8,27.5,48.8,49.400000000000006,47.900000000000006,22.1,22.5,22.1,7.7,8.0,8.0,18.3,16.2,15.4,16.5,11.8,9.9,0.349,0.344,0.326,0.155,0.163,0.162,Franco arcillo limoso,0.194,MT,98.0,379.0,0.0,2780.2320498422755,0.0,True,378.61603
2310-7-0139,La Senda (PO: 16; PA: 214),557208,4691574,472.225,MANANTIAL,0,MURILLO DE RIO LEZA,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-7-0139_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231070139,2310-7-0139,La Senda (PO: 16; PA: 214),MURILLO DE RIO LEZA,26.6,27.3,28.0,45.3,44.2,43.400000000000006,23.8,24.200000000000003,23.6,7.9,8.0,8.0,18.4,16.400000000000002,16.5,18.8,12.6,10.2,0.351,0.336,0.329,0.165,0.168,0.168,Arcilla limosa,0.186,FY,137.0,471.0,100.0,2817.7227647437217,0.0,True,468.88403
2310-5-0145,Mogrones (PO: 17; PA: 104 ),545213,4694131,453.82199097,POZO,5,ALBERITE,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-5-0145_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231050145,2310-5-0145,Mogrones (PO: 17; PA: 104 ),ALBERITE,23.6,24.5,24.8,47.900000000000006,47.0,45.0,25.6,26.700000000000003,25.200000000000003,7.6,7.7,7.7,18.6,17.2,16.400000000000002,29.9,12.9,12.4,0.339,0.329,0.318,0.159,0.157,0.158,Franco arcillo limoso,0.18,TA,26.0,453.0,100.0,758.2287939020938,0.0,False,453.52002
2310-2-0155,Sondeos Nitratos Rioja LOGROÃO VAREA,551332,4701878,359.94100952,SONDEO,8.4,LOGROÃO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-2-0155_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231020155,2310-2-0155,Sondeos Nitratos Rioja LOGROÃO VAREA,LOGROÃO,25.5,24.8,26.700000000000003,49.5,49.5,49.0,19.1,19.8,18.1,6.9,6.9,7.0,21.9,19.0,16.5,32.0,13.3,10.0,0.341,0.334,0.322,0.162,0.177,0.183,Arcilla limosa,0.179,FO,72.0,358.0,0.0,39843.83029806369,0.0,False,360.34402
2310-1-0130,INDUKIT,542088,4703977,377.334,POZO,24,LOGROÃO,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,04802 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-1-0130_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231010130,2310-1-0130,INDUKIT,LOGROÃO,24.9,25.9,25.6,44.3,42.3,41.900000000000006,23.4,22.700000000000003,22.6,7.800000000000001,8.0,8.0,19.8,16.3,15.8,17.2,11.9,10.7,0.356,0.349,0.343,0.176,0.176,0.176,Franco arcillo limoso,0.18,IM,24.0,377.0,,17307.69843418291,0.0,True,376.91608
2310-7-0081,FUENTE LA RUEDA,555633,4693920,438.168,MANANTIAL,0,MURILLO DE RIO LEZA,LA RIOJA,DepresiÃ³n del Ebro,048 | ALUVIAL DE LA RIOJA-MENDAVIA,|,|  -,No,SÃ­,SÃ­,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-7-0081_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231070081,2310-7-0081,FUENTE LA RUEDA,MURILLO DE RIO LEZA,24.0,24.9,25.4,51.3,50.8,48.7,21.4,21.3,20.8,7.800000000000001,8.0,8.0,18.2,17.3,16.5,16.3,11.6,10.3,0.349,0.336,0.325,0.161,0.185,0.18,Franco arcillo limoso,0.188,IM,208.0,435.0,,64.1727064138192,0.0,True,434.65823
2110-4-0591,CAMINO CARRAMOLINERO,509447,4700775,627,SONDEO,0,CIDAMON,LA RIOJA,DepresiÃ³n del Ebro,045 | ALUVIAL DEL OJA,|,04502 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-4-0591_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211040591,2110-4-0591,CAMINO CARRAMOLINERO,CIDAMON,30.5,31.3,32.4,43.5,42.900000000000006,40.8,23.4,23.4,21.200000000000003,7.800000000000001,8.0,8.0,18.0,16.1,15.2,24.4,13.1,11.6,0.357,0.34,0.33,0.187,0.188,0.188,Arcilla limosa,0.1699999999999999,CA,96.0,625.0,,5545.006901039674,0.0,True,631.739
2109-8-0020,FUENTE DEL POBE,506831,4710473,500.696,MANANTIAL,0,CASALARREINA,LA RIOJA,DepresiÃ³n del Ebro,045 | ALUVIAL DEL OJA,|,04502 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2109-8-0020_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=210980020,2109-8-0020,FUENTE DEL POBE,CASALARREINA,22.700000000000003,26.8,30.5,43.400000000000006,42.2,40.2,25.9,24.4,21.4,7.4,7.6,7.6,20.9,17.2,16.8,28.8,12.3,11.2,0.346,0.333,0.324,0.182,0.187,0.187,Franco arcillo limoso,0.164,FO,43.0,500.0,0.0,72267.21588526189,0.0,True,497.099
2109-8-0012,MANANTIAL PISCIFACTORIA,506025,4707245,531.79901123,MANANTIAL,0,CASTAÃARES DE RIOJA,LA RIOJA,DepresiÃ³n del Ebro,045 | ALUVIAL DEL OJA,|,04502 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2109-8-0012_ipa.pdf,SÃ­,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=210980012,2109-8-0012,MANANTIAL PISCIFACTORIA,CASTAÃARES DE RIOJA,18.9,21.4,23.0,54.7,52.6,50.0,22.700000000000003,22.3,20.9,7.1000000000000005,7.4,7.5,20.8,16.5,15.9,38.0,13.4,10.5,0.343,0.339,0.333,0.157,0.161,0.162,Franco limoso,0.186,AG,50.0,531.0,,3335.7290088981067,0.0,False,530.689
